ID,word1,score1,word2,score2,word3,score3
0,sets,0.15029204670684942,builder.environment(),0.15029204670684942,launch,0.15029204670684942
1,&amp,-,-,-,-
2,report,0.20665156422191794,issue,0.1633031284438359,job,0.14701140738196014
3,description,-,-,-,-
4,jobs,0.5510708379251145,tarball,0.5510708379251145,classpath,0.45072750603712075
5,behaviour,0.38633786231753203,mapreduce.admin.user.env,0.23617321625362048,launch_container.sh,0.23617321625362048
6,variables,0.30058409341369885,environment,0.21383477437376022,branch-2,0.15029204670684942
7,clarification,0.33064250275506873,parameters,0.27043650362227245,fine,0.27043650362227245
8,security,0.21023050448947625,value,0.19084850188786498,default,0.17220938031831565
9,offline,0.23617321625362048,configs,0.23617321625362048,discussion,0.15016464606391158
10,user,0.16532125137753437,admin,0.16532125137753437,values,0.16532125137753437
11,configuration/env,0.4133031284438359,map,0.4133031284438359,project,0.4133031284438359
12,patch,-,-,-,-
13,0m,0.1345475228732648,patch,0.07334060595971695,trunk,0.061071520604116795
14,forward,0.4133031284438359,contribution,0.4133031284438359,thanks,0.4133031284438359
15,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/resources/mapred-default.xml,0.4133031284438359,properties,0.4133031284438359,value,0.23856062735983122
16,documentation,0.23521825181113623,note,0.13521825181113623,release,0.13521825181113623
17,documentation,0.23521825181113623,comment,0.16532125137753437,thought,0.16532125137753437
18,default),0.27553541896255723,environment,0.1960152098426135,yarn.nodemanager.env-whitelist,0.1960152098426135
19,libexec/hadoop-layout.sh.example,0.8266062568876718,guarantee,0.6760912590556811,-,-
20,mapreduce,0.10817460144890899,"-Dyarn.app.mapreduce.am.env=""HADOOP_MAPRED_HOME={{HADOOP_COMMON_HOME",0.06612850055101374,"-Dmapred.child.env=""HADOOP_MAPRED_HOME={{HADOOP_COMMON_HOME",0.06612850055101374
21,mapreduce,0.10817460144890899,yarn,0.10817460144890899,stuff,0.10817460144890899
22,implementation,0.5510708379251145,0001-YARN-5026.patch,0.5510708379251145,whitelist,0.35038417414912704
23,application,0.2627881306118453,9d4d30243b0fc,0.16902281476392028,YARN,0.14701140738196014
24,"JAVA_HOME,HADOOP_COMMON_HOME,HADOOP_HDFS_HOME,HADOOP_CONF_DIR,CLASSPATH_PREPEND_DISTCACHE,HADOOP_YARN_HOME,HADOOP_MAPRED_HOME",0.33064250275506873,i,0.33064250275506873,fine,0.27043650362227245
25,0m,0.14015366965965081,patch,0.0763964645413718,trunk,0.06361616729595498
26,9d4d30243b0fc,0.15602105978208028,box,0.08085788634210625,part,0.07340326995687114
27,Thanks,0.23358944943275137,workaround,0.18369027930837148,place,0.18369027930837148
28,/bin/java,0.15029204670684942,&lt,0.14255651624917348,java,0.10019469780456627
29,configuration,0.33064250275506873,parameter,0.16532125137753437,=JAVA_HOME,0.16532125137753437
30,catch,0.8266062568876718,Thanks,0.5255762612236906,-,-
31,alpha2,0.33064250275506873,progress,0.33064250275506873,Folks,0.33064250275506873
32,&lt,0.16221948400768016,solutions,0.05700732806121874,HADOOP_MAPRED_HOME=HADOOP_COMMON_HOME,0.05700732806121874
33,Solution,0.16532125137753437,Addition,0.16532125137753437,ContainerLaunchContext,0.16532125137753437
34,patch,0.08125973665963802,unit,0.07249877624315842,0m,0.05759739849026746
35,pollution,0.11808660812681024,client,0.09658446557938301,#3,0.08400651850397722
36,deployment,0.17587367167822804,cache,0.17261904486528026,dist,0.07034946867129122
37,equivalent,0.23617321625362048,something,0.23617321625362048,argument,0.23617321625362048
38,case,0.16532125137753437,apps,0.16532125137753437,document,0.08266062568876718
39,visibility,0.27553541896255723,opinions,0.27553541896255723,mailing,0.22536375301856038
40,exception,0.18369027930837148,factor,0.18369027930837148,audience,0.18369027930837148
41,parameters,0.33804562952784056,yarn.nodemanager.env-whitelist,0.2940228147639203,#3,0.2940228147639203
42,morning,0.8266062568876718,change,0.37506126339170004,-,-
43,solution,0.3494850021680094,patch,0.26963458073425345,-,-
44,0m,0.08945978914445797,x86_64,0.06709484185834348,mvnsite,0.06709484185834348
